GO_ID,GO_term,Gene_Count,P_Value,Adjusted_P_Value
GO:0010218,response to far red light,7,0.009488413202110904,0.10825929067898546
GO:0097501,stress response to metal ion,8,0.009608836680391586,0.10825929067898546
GO:0010088,phloem development,9,0.009789742556535986,0.10825929067898546
GO:0010196,nonphotochemical quenching,6,0.01010587936623557,0.10934230133959796
GO:0051302,regulation of cell division,10,0.010630105149776487,0.11315918385245939
GO:0071472,cellular response to salt stress,12,0.011525977586930441,0.113539480707076
GO:0080037,negative regulation of cytokinin-activated signaling pathway,6,0.011495432952801315,0.113539480707076
GO:0000398,"mRNA splicing, via spliceosome",94,0.011376760083817395,0.113539480707076
GO:2000067,regulation of root morphogenesis,9,0.01113910556713844,0.113539480707076
GO:0006096,glycolytic process,18,0.011239322975730617,0.113539480707076
GO:0009734,auxin-activated signaling pathway,15,0.01198754118189738,0.1163496644125334
GO:0006970,response to osmotic stress,44,0.012476377259974414,0.1173138093572452
GO:0006812,monoatomic cation transport,14,0.012336700701860721,0.1173138093572452
GO:0009910,negative regulation of flower development,8,0.01262012191570365,0.1173138093572452
GO:0010214,seed coat development,13,0.013354574650531399,0.12130219462431695
GO:0045926,negative regulation of growth,8,0.01341675789026536,0.12130219462431695
GO:1902074,response to salt,23,0.014425971045826071,0.12866406608439468
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",21,0.015277761538999941,0.13095224176285664
GO:0015790,UDP-xylose transmembrane transport,5,0.01511705532015011,0.13095224176285664
GO:0009789,positive regulation of abscisic acid-activated signaling pathway,18,0.014946894805708669,0.13095224176285664
GO:0030970,"retrograde protein transport, ER to cytosol",6,0.01585803352639047,0.1324848370559204
GO:1902531,regulation of intracellular signal transduction,32,0.015747175016955325,0.1324848370559204
GO:0009658,chloroplast organization,55,0.016806003589627007,0.1386495296144228
GO:0006955,immune response,30,0.01723271456226353,0.14041471124807323
GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,7,0.017798455567346334,0.14325586188351927
GO:0006412,translation,251,0.018613736690037325,0.1462507882788647
GO:0036503,ERAD pathway,24,0.01852055359868142,0.1462507882788647
GO:0009834,plant-type secondary cell wall biogenesis,9,0.019176559427910696,0.14817222705802988
GO:2000143,negative regulation of DNA-templated transcription initiation,5,0.019307290192409954,0.14817222705802988
GO:0051258,protein polymerization,5,0.020519218037278065,0.15389413527958548
GO:0090708,specification of plant organ axis polarity,5,0.020519218037278065,0.15389413527958548
GO:0016579,protein deubiquitination,21,0.02206816956820682,0.16065600970825547
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",7,0.022320666684508057,0.16065600970825547
GO:0051923,sulfation,7,0.022394474080544704,0.16065600970825547
GO:0006892,post-Golgi vesicle-mediated transport,13,0.022212798200617057,0.16065600970825547
GO:0120009,intermembrane lipid transfer,20,0.02316592254695943,0.1619865995352932
GO:0002213,defense response to insect,17,0.02334041634394928,0.1619865995352932
GO:0045492,xylan biosynthetic process,7,0.02328451236567302,0.1619865995352932
GO:0045489,pectin biosynthetic process,11,0.023561687205133557,0.1619865995352932
GO:0035442,dipeptide transmembrane transport,13,0.025049915012908746,0.16233909934785984
GO:0010315,auxin export across the plasma membrane,5,0.024025607537081193,0.16233909934785984
GO:0006397,mRNA processing,61,0.025334738231559947,0.16233909934785984
GO:0040008,regulation of growth,8,0.0249186410339673,0.16233909934785984
GO:0042939,tripeptide transport,13,0.025049915012908746,0.16233909934785984
GO:0010207,photosystem II assembly,7,0.025220446310923902,0.16233909934785984
GO:0042938,dipeptide transport,13,0.025049915012908746,0.16233909934785984
GO:0010497,plasmodesmata-mediated intercellular transport,7,0.02650886039728758,0.16537529824116262
GO:0006396,RNA processing,117,0.026560275172065512,0.16537529824116262
GO:0009624,response to nematode,24,0.026418253225018767,0.16537529824116262
GO:0006629,lipid metabolic process,103,0.026926034483063205,0.1660858201759039
GO:0032366,intracellular sterol transport,6,0.027264463658024842,0.1666161667990407
GO:0042631,cellular response to water deprivation,11,0.027858733927372502,0.16868591185381515
GO:0009083,branched-chain amino acid catabolic process,5,0.028534021299901565,0.1712041277994094
GO:1902476,chloride transmembrane transport,5,0.028985885380017985,0.1723485076649718
GO:0009101,glycoprotein biosynthetic process,57,0.029585022947699408,0.17434031379894294
GO:0023051,regulation of signaling,11,0.029952601580468932,0.17494439861158845
GO:0071421,manganese ion transmembrane transport,12,0.03176327136530158,0.18389262369385126
GO:0006098,pentose-phosphate shunt,9,0.03224269848562861,0.18504505217839026
GO:1905392,plant organ morphogenesis,7,0.03289592425711578,0.18716646560083117
GO:0051762,sesquiterpene biosynthetic process,19,0.033477698887849454,0.18884855782889434
GO:0046856,phosphatidylinositol dephosphorylation,9,0.03415007023709379,0.1910088674278127
GO:0009808,lignin metabolic process,5,0.034692260203116956,0.19241085490804363
GO:0071215,cellular response to abscisic acid stimulus,14,0.035485274170558655,0.1946357398917021
GO:2000762,regulation of phenylpropanoid metabolic process,7,0.035683218980145384,0.1946357398917021
GO:0030148,sphingolipid biosynthetic process,8,0.036931380390911504,0.1969259319892417
GO:0006488,dolichol-linked oligosaccharide biosynthetic process,9,0.03713302994869024,0.1969259319892417
GO:0071555,cell wall organization,10,0.036721517840907526,0.1969259319892417
GO:0048316,seed development,8,0.03729657802826547,0.1969259319892417
GO:0051510,regulation of unidimensional cell growth,9,0.03762979179067674,0.1971084331892591
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",7,0.03838814181356823,0.19780752004442517
GO:0071470,cellular response to osmotic stress,5,0.038662378917774014,0.19780752004442517
GO:0140964,intracellular auxin homeostasis,7,0.03821034382238085,0.19780752004442517
GO:0006612,protein targeting to membrane,25,0.04068147037271955,0.20413512410924983
GO:0048564,photosystem I assembly,11,0.040827024821849967,0.20413512410924983
GO:0006360,transcription by RNA polymerase I,11,0.04061719543430799,0.20413512410924983
GO:0000226,microtubule cytoskeleton organization,23,0.041998331219640486,0.2057723416421769
GO:0006623,protein targeting to vacuole,6,0.04208979715408164,0.2057723416421769
GO:0015908,fatty acid transport,9,0.042056202145994606,0.2057723416421769
GO:0090333,regulation of stomatal closure,8,0.04338561758834265,0.21054785006107463
GO:0080147,root hair cell development,11,0.044307805012692277,0.21345365918523285
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,43,0.04607309740587264,0.21876434739479098
GO:0006950,response to stress,105,0.045842769690168865,0.21876434739479098
GO:0060918,auxin transport,7,0.0482329559252576,0.22261364273195816
GO:0072657,protein localization to membrane,9,0.04760495453352414,0.22261364273195816
GO:0009695,jasmonic acid biosynthetic process,7,0.04819619118311616,0.22261364273195816
GO:0009631,cold acclimation,17,0.04731648885479559,0.22261364273195816
GO:0042761,very long-chain fatty acid biosynthetic process,11,0.05080888844518775,0.23140038171098917
GO:0080120,CAAX-box protein maturation,7,0.051188569287582454,0.23140038171098917
GO:0009958,positive gravitropism,12,0.05114617322521434,0.23140038171098917
GO:0015749,monosaccharide transmembrane transport,6,0.05181930052240183,0.23265808397813068
GO:0048193,Golgi vesicle transport,9,0.053566006635968576,0.23569042919826175
GO:0006468,protein phosphorylation,15,0.053031578303100534,0.23569042919826175
GO:0000724,double-strand break repair via homologous recombination,22,0.05345024415320791,0.23569042919826175
GO:0009787,regulation of abscisic acid-activated signaling pathway,10,0.05409725252976027,0.23645156734862105
GO:0034244,negative regulation of transcription elongation by RNA polymerase II,11,0.055385662559682,0.24049037690388234
GO:0009553,embryo sac development,7,0.0564719582138192,0.2436045256282397
GO:1902600,proton transmembrane transport,45,0.057004569647396,0.24430529848884
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",25,0.0594420202179154,0.25310795705693007
GO:0042128,nitrate assimilation,6,0.061845385278542796,0.25997473201552623
GO:2000280,regulation of root development,32,0.061786892251641926,0.25997473201552623
GO:0019760,glucosinolate metabolic process,13,0.062236375240080515,0.25997473201552623
GO:0034219,carbohydrate transmembrane transport,15,0.06300669807504827,0.2615372372926532
GO:0009625,response to insect,32,0.06525203652976179,0.26688640290508003
GO:0006217,deoxycytidine catabolic process,8,0.06631722738853503,0.26688640290508003
GO:0046109,uridine biosynthetic process,8,0.06631722738853503,0.26688640290508003
GO:0009739,response to gibberellin,25,0.06592504657729811,0.26688640290508003
GO:0071370,cellular response to gibberellin stimulus,5,0.06512213550722343,0.26688640290508003
GO:0048868,pollen tube development,9,0.06730051677201786,0.26920206708807143
GO:0006873,intracellular monoatomic ion homeostasis,5,0.06771272466985834,0.2692192667596777
GO:1904659,D-glucose transmembrane transport,5,0.06818283895198567,0.2694651120258116
GO:0010227,floral organ abscission,7,0.07046985149781607,0.2760490312009868
GO:0006325,chromatin organization,33,0.07110590447705906,0.2760490312009868
GO:0016255,attachment of GPI anchor to protein,7,0.07152179444752839,0.2760490312009868
GO:0009744,response to sucrose,21,0.07099563152858217,0.2760490312009868
GO:0000045,autophagosome assembly,14,0.07334550384988446,0.27739348218953225
GO:0051177,meiotic sister chromatid cohesion,8,0.07437039444502298,0.27739348218953225
GO:0048767,root hair elongation,11,0.07439188840537456,0.27739348218953225
GO:0048481,plant ovule development,5,0.07397427706943195,0.27739348218953225
GO:0048358,mucilage pectin biosynthetic process,6,0.07241856308769275,0.27739348218953225
GO:0009073,aromatic amino acid biosynthetic process,5,0.07374967645804006,0.27739348218953225
GO:0032875,regulation of DNA endoreduplication,12,0.07481803451431876,0.2774151841542156
GO:0010375,stomatal complex patterning,6,0.07891247113423809,0.2785146040031933
GO:0000957,mitochondrial RNA catabolic process,7,0.07688819565358457,0.2785146040031933
GO:0005975,carbohydrate metabolic process,209,0.0757534626580045,0.2785146040031933
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",13,0.07813251514578642,0.2785146040031933
GO:0009416,response to light stimulus,15,0.07598279813284732,0.2785146040031933
GO:0045454,cell redox homeostasis,10,0.07663972339610023,0.2785146040031933
GO:0009663,plasmodesma organization,5,0.0786093572607133,0.2785146040031933
GO:0000470,maturation of LSU-rRNA,10,0.07852668693845961,0.2785146040031933
GO:0007018,microtubule-based movement,41,0.07776995043194497,0.2785146040031933
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",12,0.08101479995862064,0.2844136594292001
GO:0050832,defense response to fungus,75,0.08202412834179428,0.28643346405071013
GO:0015031,protein transport,41,0.08413894128374269,0.2892276106628655
GO:0009825,multidimensional cell growth,5,0.0840959244833668,0.2892276106628655
GO:0048507,meristem development,15,0.08327275169924914,0.2892276106628655
GO:0009873,ethylene-activated signaling pathway,13,0.08551703422642366,0.28944226968943393
GO:0000122,negative regulation of transcription by RNA polymerase II,22,0.08526671417469017,0.28944226968943393
GO:0098542,defense response to other organism,107,0.08494411049167071,0.28944226968943393
GO:0006384,transcription initiation at RNA polymerase III promoter,13,0.08608676379466952,0.28988400053307084
GO:0055046,microgametogenesis,9,0.08762127396095051,0.2909319727525698
GO:1905582,response to mannose,8,0.08772039784509303,0.2909319727525698
GO:0016102,diterpenoid biosynthetic process,20,0.08768953125895539,0.2909319727525698
GO:0051707,response to other organism,36,0.08951376726536157,0.2909810875462613
GO:0051231,spindle elongation,5,0.08872288172310466,0.2909810875462613
GO:0032468,Golgi calcium ion homeostasis,5,0.08982484701923311,0.2909810875462613
GO:0012501,programmed cell death,11,0.09038048931361146,0.2909810875462613
GO:0010039,response to iron ion,14,0.09037647563420376,0.2909810875462613
GO:0032472,Golgi calcium ion transport,5,0.08982484701923311,0.2909810875462613
GO:0080188,gene silencing by siRNA-directed DNA methylation,21,0.09137508180699876,0.29275511646902513
GO:2000377,regulation of reactive oxygen species metabolic process,9,0.09534269730750597,0.30399120880654074
GO:1900458,negative regulation of brassinosteroid mediated signaling pathway,6,0.0959293956807064,0.30439135167916453
GO:0051013,microtubule severing,5,0.09659294629865703,0.30503035673260115
GO:0010960,magnesium ion homeostasis,7,0.09820180062210457,0.3086342305266144
GO:0034755,iron ion transmembrane transport,8,0.0988364481470193,0.30915666245039214
GO:0080022,primary root development,7,0.10017879255243288,0.31147489006911805
GO:0043067,regulation of programmed cell death,8,0.10052144179503356,0.31147489006911805
GO:0006869,lipid transport,34,0.10250985540961799,0.3161518905156443
GO:0006354,DNA-templated transcription elongation,5,0.10361024201015162,0.31805934756604687
GO:0003333,amino acid transmembrane transport,29,0.10459224721561267,0.31897689929057144
GO:0007010,cytoskeleton organization,5,0.10514556813664351,0.31897689929057144
GO:0010286,heat acclimation,23,0.10535903643234026,0.31897689929057144
GO:0016114,terpenoid biosynthetic process,21,0.10717142138817871,0.3229823658273879
GO:0046135,pyrimidine nucleoside catabolic process,7,0.10889712903982308,0.32585687739811076
GO:1902475,L-alpha-amino acid transmembrane transport,9,0.10911268167421588,0.32585687739811076
GO:0009742,brassinosteroid mediated signaling pathway,19,0.11041449260946326,0.3282593023524583
GO:0006099,tricarboxylic acid cycle,10,0.11126307560990438,0.32929878880061386
GO:0006887,exocytosis,5,0.11206245888857908,0.33018403065384905
GO:0006487,protein N-linked glycosylation,14,0.11340876563504396,0.3311937403501284
GO:0042752,regulation of circadian rhythm,6,0.11336096622326622,0.3311937403501284
GO:0006520,amino acid metabolic process,12,0.11440631207376575,0.33263509237306343
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",5,0.11596967168176937,0.33570168118406923
GO:0016554,cytidine to uridine editing,11,0.11774577420854641,0.33935463309013375
GO:0009644,response to high light intensity,8,0.11874752604166006,0.34075377038041577
GO:0010030,positive regulation of seed germination,6,0.12068173491185112,0.3448049568910032
GO:0006621,protein retention in ER lumen,6,0.12230364352952358,0.3464395052767621
GO:1902584,positive regulation of response to water deprivation,11,0.12181510998771339,0.3464395052767621
GO:0035825,homologous recombination,7,0.12598499898866558,0.355342304839826
GO:0031425,chloroplast RNA processing,6,0.1273372283593031,0.3576279604984683
GO:0007019,microtubule depolymerization,6,0.1279940514766245,0.35794946599394983
GO:0010311,lateral root formation,7,0.13096505410400072,0.3632232078011292
GO:0042274,ribosomal small subunit biogenesis,16,0.1313295009027275,0.3632232078011292
GO:0008610,lipid biosynthetic process,41,0.13153082827949983,0.3632232078011292
GO:0006044,N-acetylglucosamine metabolic process,6,0.13271094493490318,0.36495509857098374
GO:0045047,protein targeting to ER,8,0.13637838740393093,0.3734843804423005
GO:0009308,amine metabolic process,8,0.14073161997792327,0.3760440047993091
GO:0006414,translational elongation,33,0.13888647707664087,0.3760440047993091
GO:0006820,monoatomic anion transport,6,0.13970827873418265,0.3760440047993091
GO:0070897,transcription preinitiation complex assembly,6,0.13964959898530513,0.3760440047993091
GO:0042273,ribosomal large subunit biogenesis,21,0.13808049460924102,0.3760440047993091
GO:0006284,base-excision repair,18,0.14037226907326972,0.3760440047993091
GO:0042594,response to starvation,12,0.14315576663348797,0.3776908728639388
GO:0006857,oligopeptide transport,16,0.14395946121620823,0.3776908728639388
GO:0030026,intracellular manganese ion homeostasis,5,0.14411057540060537,0.3776908728639388
GO:2000779,regulation of double-strand break repair,5,0.14290301321772506,0.3776908728639388
GO:0043547,positive regulation of GTPase activity,8,0.1442092423662312,0.3776908728639388
GO:0072583,clathrin-dependent endocytosis,31,0.1456940407266824,0.38007141059134536
GO:0009611,response to wounding,59,0.1464054162586408,0.3804235225618226
GO:0010029,regulation of seed germination,14,0.14709222853881043,0.3807092973945682
GO:0010162,seed dormancy process,8,0.14895518877939612,0.38253083499767093
GO:0010073,meristem maintenance,21,0.14873125057902725,0.38253083499767093
GO:0045927,positive regulation of growth,9,0.15050470090978685,0.38479926384308094
GO:0045814,"negative regulation of gene expression, epigenetic",13,0.1510045595990272,0.38479926384308094
GO:0006879,intracellular iron ion homeostasis,9,0.15319137293475338,0.3888704082189894
GO:0006241,CTP biosynthetic process,7,0.15477212202262203,0.3913777798273201
GO:2000012,regulation of auxin polar transport,12,0.1579675480849264,0.3977605210267973
GO:0045010,actin nucleation,13,0.1589195279197898,0.3977605210267973
GO:0002182,cytoplasmic translational elongation,5,0.15910420841071893,0.3977605210267973
GO:0010114,response to red light,14,0.16111810906372215,0.4012752904983269
GO:0034243,regulation of transcription elongation by RNA polymerase II,6,0.16331722319538755,0.40522318537201424
GO:0010015,root morphogenesis,5,0.1661922478379625,0.41081229802642416
GO:0010118,stomatal movement,8,0.16683303352433598,0.4108574706196334
GO:0009826,unidimensional cell growth,16,0.16924906670220052,0.4152579331726853
GO:0002229,defense response to oomycetes,45,0.17197483480618236,0.4203829295262235
GO:0045039,protein insertion into mitochondrial inner membrane,7,0.17341726102985633,0.42044648763697723
GO:0016070,RNA metabolic process,21,0.17314349650898242,0.42044648763697723
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,37,0.17391195624984057,0.42044648763697723
GO:0071816,tail-anchored membrane protein insertion into ER membrane,9,0.17532859828331526,0.4223243608284236
GO:0034976,response to endoplasmic reticulum stress,11,0.17733446235283068,0.4256027096467936
GO:0080156,mitochondrial mRNA modification,26,0.18230893650231483,0.4312684519409598
GO:0031204,"post-translational protein targeting to membrane, translocation",8,0.18143640816226336,0.4312684519409598
GO:0010476,gibberellin mediated signaling pathway,5,0.18081075524118562,0.4312684519409598
GO:1900056,negative regulation of leaf senescence,5,0.18203280542954714,0.4312684519409598
GO:0006631,fatty acid metabolic process,17,0.1848474848500513,0.4315308890410773
GO:0034337,RNA folding,5,0.18503521454337102,0.4315308890410773
GO:0030001,metal ion transport,8,0.1845278320190652,0.4315308890410773
GO:0051865,protein autoubiquitination,7,0.1837811769779949,0.4315308890410773
GO:0006744,ubiquinone biosynthetic process,7,0.1888863448296263,0.43784868898911167
GO:0045944,positive regulation of transcription by RNA polymerase II,29,0.18907102479075277,0.43784868898911167
GO:0090114,COPII-coated vesicle budding,7,0.19107848209977008,0.4409503433071617
GO:0060359,response to ammonium ion,5,0.19352158358993,0.4450322131336369
GO:0010446,response to alkaline pH,5,0.19540152733760563,0.44779516681534626
GO:0032968,positive regulation of transcription elongation by RNA polymerase II,13,0.19630913240239412,0.4483184338601388
GO:0009651,response to salt stress,95,0.1987483865549543,0.45027027763679883
GO:0006605,protein targeting,6,0.19856737381859824,0.45027027763679883
GO:0070475,rRNA base methylation,20,0.19921048646961403,0.45027027763679883
GO:0034063,cytoplasmic stress granule assembly,15,0.20292366419081287,0.45709767360387876
GO:0033617,mitochondrial respiratory chain complex IV assembly,8,0.20521086745465245,0.4606774575512606
GO:0010274,hydrotropism,12,0.20752928597106302,0.46430280929119183
GO:0002221,pattern recognition receptor signaling pathway,16,0.21022845446904004,0.46875263496475145
GO:0090158,endoplasmic reticulum membrane organization,6,0.21177741015588125,0.4691649214506815
GO:0016197,endosomal transport,5,0.21396763841917443,0.4691649214506815
GO:0010431,seed maturation,6,0.21360929026021014,0.4691649214506815
GO:0001731,formation of translation preinitiation complex,5,0.21280313808829632,0.4691649214506815
GO:0010038,response to metal ion,8,0.2137578629390281,0.4691649214506815
GO:0000911,cytokinesis by cell plate formation,9,0.21520383155152223,0.47031300935100884
GO:0010929,positive regulation of auxin mediated signaling pathway,5,0.2159720636463115,0.4704341980414706
GO:0048731,system development,8,0.21816184215444545,0.4736408415195197
GO:0006474,N-terminal protein amino acid acetylation,10,0.21924548799571197,0.4736455721584454
GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process,6,0.22103460034060785,0.4736455721584454
GO:0009447,putrescine catabolic process,5,0.22065335154451582,0.4736455721584454
GO:0007166,cell surface receptor signaling pathway,34,0.21972459981993775,0.4736455721584454
GO:0046294,formaldehyde catabolic process,7,0.22313995738726067,0.4766096177203626
GO:0009704,de-etiolation,5,0.22526017780896068,0.4768833762333036
GO:0006418,tRNA aminoacylation for protein translation,24,0.22543577785574354,0.4768833762333036
GO:0016236,macroautophagy,5,0.22427118169268578,0.4768833762333036
GO:0030643,intracellular phosphate ion homeostasis,8,0.22790957067559636,0.48057609152042685
GO:0010087,phloem or xylem histogenesis,10,0.22874046251379743,0.4807920549653067
GO:0007033,vacuole organization,7,0.230777058571215,0.48353288462540284
GO:0071365,cellular response to auxin stimulus,12,0.2332868800713198,0.48724474951604774
GO:0042791,5S class rRNA transcription by RNA polymerase III,5,0.23657296277154605,0.4911595725005105
GO:2000031,regulation of salicylic acid mediated signaling pathway,7,0.23664961220479142,0.4911595725005105
GO:0002237,response to molecule of bacterial origin,10,0.24099232289099481,0.4986048059813686
GO:0000272,polysaccharide catabolic process,8,0.24355842797401595,0.5023392576964079
GO:0006636,unsaturated fatty acid biosynthetic process,9,0.2502275377112896,0.5144865261353617
GO:0009556,microsporogenesis,10,0.254546530287192,0.5201260371193397
GO:0009637,response to blue light,15,0.25404154271648827,0.5201260371193397
GO:0010305,leaf vascular tissue pattern formation,5,0.25884928239932803,0.5272855752578904
GO:0051225,spindle assembly,9,0.26026123653307276,0.528530511113317
GO:0006633,fatty acid biosynthetic process,15,0.2611190142301578,0.5286458570303808
GO:1901703,protein localization involved in auxin polar transport,9,0.26360576479179076,0.5320483326072841
GO:1902456,regulation of stomatal opening,10,0.26529050710075586,0.5321937224513643
GO:0009737,response to abscisic acid,126,0.26527182775722513,0.5321937224513643
GO:0006357,regulation of transcription by RNA polymerase II,130,0.2745817564690054,0.5491635129380108
GO:0051259,protein complex oligomerization,9,0.27667944100665154,0.5500253947722591
GO:0050829,defense response to Gram-negative bacterium,5,0.2759963285538364,0.5500253947722591
GO:0006334,nucleosome assembly,18,0.27767771120903306,0.5503522204142998
GO:0018394,peptidyl-lysine acetylation,7,0.27969069679964154,0.5526822152328246
GO:0010928,regulation of auxin mediated signaling pathway,10,0.28828975956060676,0.5679738546567178
GO:0019464,glycine decarboxylation via glycine cleavage system,5,0.2920531992513201,0.5736759271008074
GO:0007015,actin filament organization,8,0.29730612822778624,0.5805385935808844
GO:0006221,pyrimidine nucleotide biosynthetic process,9,0.2966760042434834,0.5805385935808844
GO:0080142,regulation of salicylic acid biosynthetic process,9,0.3001143724819759,0.5842934685489797
GO:0016998,cell wall macromolecule catabolic process,9,0.3021532451366157,0.5865327699710775
GO:0071244,cellular response to carbon dioxide,5,0.30434750573022007,0.5890596885101033
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,14,0.3059270231685226,0.5903854833076752
GO:0010099,regulation of photomorphogenesis,7,0.30762706269254836,0.5919354559098599
GO:0009134,nucleoside diphosphate catabolic process,5,0.31814174626022373,0.5994784077832161
GO:0009266,response to temperature stimulus,21,0.3166011528802275,0.5994784077832161
GO:0009846,pollen germination,20,0.3180468011563219,0.5994784077832161
GO:0022904,respiratory electron transport chain,8,0.3206301181022353,0.5994784077832161
GO:0031349,positive regulation of defense response,10,0.3200655685057473,0.5994784077832161
GO:0009203,ribonucleoside triphosphate catabolic process,5,0.31814174626022373,0.5994784077832161
GO:0071806,protein transmembrane transport,8,0.318271047408469,0.5994784077832161
GO:0009615,response to virus,9,0.31915998367794685,0.5994784077832161
GO:0000423,mitophagy,7,0.31965651908072756,0.5994784077832161
GO:0010629,negative regulation of gene expression,16,0.31516197426260606,0.5994784077832161
GO:1900459,positive regulation of brassinosteroid mediated signaling pathway,5,0.3249071941895285,0.6057591756075955
GO:0048544,recognition of pollen,30,0.3277695050202609,0.6086648187237332
